ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CPER578	578	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (40 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER579	579	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (50 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER580	580	CPER	Ecohydrology	Automated soil moisture network	Soil moisture (volumetric water content – VWC) is measured at several depths (80 cm)				2016	2016	2016-01-01	2018	now	2019-12-31	4	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			25	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol	soil moisture	Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	yes
CPER581	581	CPER	Runoff	micro-watersheds	overland flow and soil moisture from gauge constructed within 1 ha area		continuous		2017	2017	2017-01-01	2018	now	2019-12-31	3	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			2	Central Plains Experimental Range, Nunn, Colorado	Closed	Hydrology	STEWARDS		Hydrology				Natural Resources, Earth and Environmental Sciences	inlandWaters	no
CPER582	582	CPER	socio-economic	revenue	profit	dollars	annual	1 year	2014	2014	2014-01-01		now	2019-12-31	6	Justin Derner, John Ritten	excel, UWYO			1	Central Plains Experimental Range, Nunn, Colorado	Closed	Land Management	new socio-economic		Animals, Animal Science, Rangeland				Farms and Farming Systems	environment	yes
CPER583	583	CPER	socio-economic	operating costs	costs	dollars	annual	1 year	2014	2014	2014-01-01		now	2019-12-31	6	Justin Derner, John Ritten	excel, UWYO			1	Central Plains Experimental Range, Nunn, Colorado	Closed	Land Management	new socio-economic		Animals, Animal Science, Rangeland				Farms and Farming Systems	environment	yes
CPER584	584	CPER	Meteorology	AirTemperature	Air Temperature	°C	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER585	585	CPER	Meteorology	WindSpeed	Wind Speed	m/s	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Wind speed, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER586	586	CPER	Meteorology	WindDirection	Wind direction	degrees	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Wind direction air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER587	587	CPER	Meteorology	RelativeHumidity	Relative Humidity	percent	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER588	588	CPER	Meteorology	AirPressure	Air Pressue		fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Pressure	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER589	589	CPER	Meteorology	PAR	Photosynthetically Active Radiation	µmol/s/m²	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Solar radiation, vegetated ground, no media, daily, total	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
