ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
GACP819	819	GACP	Eddy flux	no_irga_head_Tot		samples	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP820	820	GACP	Eddy flux	no_new_irga_data_Tot		samples	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP821	821	GACP	Eddy flux	irga_bad_data_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP822	822	GACP	Eddy flux	irga_gen_fault_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP823	823	GACP	Eddy flux	irga_startup_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP824	824	GACP	Eddy flux	irga_motor_spd_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP825	825	GACP	Eddy flux	irga_tec_tmpr_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP826	826	GACP	Eddy flux	irga_src_pwr_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP827	827	GACP	Eddy flux	irga_src_tmpr_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP828	828	GACP	Eddy flux	irga_src_curr_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP829	829	GACP	Eddy flux	irga_off_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP830	830	GACP	Eddy flux	irga_sync_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP831	831	GACP	Eddy flux	irga_amb_tmpr_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP832	832	GACP	Eddy flux	irga_amb_press_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP833	833	GACP	Eddy flux	irga_CO2_I_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP834	834	GACP	Eddy flux	irga_CO2_Io_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
