ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
UMRB6020	6020	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	PPFD_IN	Photosynthetic photon flux density, incoming	umol/m^2/s	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6021	6021	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	PA	Atmospheric pressure	kPa	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	Pressure	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6022	6022	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	T_CANOPY	Temperature of the canopy	deg C	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6023	6023	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	ALB	Albedo	%	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	Albedo	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6024	6024	UMRB - St. Paul	LAND-ATMOSPHERE FLUXES (EC)	SWC	Soil water content (volumetric)	%	30 minute	30 minute	1/1/2017	2017-01-01	2017-01-01	present	now	2019-12-31	3	C. Winker	.csv	Ameriflux	North Site: US-Ro6  South Site: US-Ro5	1	North Site: I18N, Rosemount, MN  South Site: I18S, Rosemount, MN	Open	Eddy Covariance	AmeriFlux	unresolved	Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6025	6025	UMRB - St. Paul	METEOROLOGY	Air Temperature	Air Temperature	Deg C	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6026	6026	UMRB - St. Paul	METEOROLOGY	Air Pressure	Air Pressure	kPa	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Pressure					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6027	6027	UMRB - St. Paul	METEOROLOGY	Incoming longwave radiation	Incoming longwave radiation	W/m2	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	ave_incoming_longwave radiation					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6028	6028	UMRB - St. Paul	METEOROLOGY	Incoming shortwave radiation	Incoming shortwave radiation	W/m2	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	ave_incoming_shortwave radiation					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6029	6029	UMRB - St. Paul	METEOROLOGY	Photosynthetically Active Radiation	Photosynthetically Active Radiation, PAR	µmol/m2/s	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Photosynthetically active radiation					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
