LTARSite Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	StartDate	EndDate	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialExtentDescription	PublicAccess
LMRB	METEOROLOGY (Eddy covariance)	Water vapor concentration		mmol/mol	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Water vapor density		mmol/m3	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Latent heat flux		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)				30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Precipitation		mm	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Precipitation annual cumulative		mm	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Incoming long wave radiation		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Outgoing long wave radiation		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Outgoing global solar radiation		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Net radiation		W/m2	30 minute								
LMRB	METEOROLOGY (Eddy covariance)				30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Saturated vapor pressure		kPa	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Temperature from sonic anemometer		deg C	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Friction velocity		m/s	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Vapor pressure deficit		kPa	30 minute								
LMRB	METEOROLOGY (Eddy covariance)	Height of eddy covariance sensors		m	30 minute								
LMRB	Land Management	"Tillage practices, fertilizer applications, irrigation events"			Annual / by management event	1995	Present	USDA-ARS NSL				GCEW / BLW	
LMRB	LAND USE				Annual	1937 / 1995	Present	USDA-ARS NSL				"GCEW / BLW_GCEW - 1937, 1957, 1977, 1980-2005 / BLW - all years"	
LMRB	DEM	LiDAR		1m	Annual	2010	2010	USACE				GCEW / BLW	
LMRB	AERIAL IMAGERY				Annual	1937 / 2004	2006 / 2010					GCEW / BLW_GCEW - 11 years / BLW - 6 years	
LMRB	STREAM CROSS-SECTION SURVEYS											GCEW	
LMRB	STREAM THALWEG SURVEYS											GCEW	
