TYPE	TABLE	COLUMN	ParameterDescription	Low	High	Units	Nullable	ACCESS Field types	Precision	Scale	Maxlength	TABLE LAST DET	COLUMN From AgAR v2017.05.0008 (6/2/2017)
Measurement	MeasSoilPhys	Aggregation %	"Micro or Macroaggregation, percent"	0	100	%	YES	decimal	9	3	---	MeasSoilPhys	"Aggregation, %"
Measurement	MeasSoilPhys	H2O Stable Aggregates %	"Water Stable Aggregates, soil, percent"	0	100	%	YES	decimal	9	3	---	MeasSoilPhys	"H2O Stable Aggregates, %"
Measurement	MeasSoilPhys	Near-Infrared C gC/kg	"Near Infrared Total carbon, soil, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilPhys	"Near-Infrared C, gC/kg"
Measurement	MeasSoilPhys	Bulk Density STD g/cm3	"Bulk density, soil, StdDev, grams per centimeter squared"	0	3	g/cm3	YES	decimal	9	3	---	MeasSoilPhys	"Bulk Density STD, g/cm3"
Measurement	MeasSoilPhys	Wilting Point STD % volume	"Wilting point, soil, StdDev, percent volume"	0	50	% vol (cu cm H2O/cu cm soil*100)	YES	decimal	9	3	---	MeasSoilPhys	"Wilting Point STD, % volume"
Measurement	MeasSoilPhys	Field Capacity STD % volume	"Field capacity, soil, StdDev, percent volume"	0	0.01	% vol (cu cm H2O/cu cm soil*100)	YES	decimal	9	3	---	MeasSoilPhys	"Field Capacity STD, % volume"
Measurement	MeasSoilPhys	Ksat STD cm/sec	"Saturated hydraulic conductivity, soil, StdDev, centimeters per second"	0	"1,000"	cm/sec	YES	decimal	9	3	---	MeasSoilPhys	"Ksat STD, cm/sec"
Measurement	MeasSoilPhys	Soil Heat Flux STD MJ/m2	"Soil heat flux, soil, StdDev, megajoules per square meter"	0		MJ/m2	YES	decimal	9	3	---	MeasSoilPhys	"Soil Heat Flux STD, MJ/m2"
Measurement	MeasSoilPhys	Macro Aggregates STD %	"Micro or Macroaggregation, percent StdDev"	0	100	%	YES	decimal	9	3	---	MeasSoilPhys	"Macro Aggregates STD, %"
Measurement	MeasSoilPhys	H2O Stable Aggregates STD %	"Water Stable Aggregates, soil, StdDev, percent"	0	100	%	YES	decimal	9	3	---	MeasSoilPhys	"H2O Stable Aggregates STD, %"
Measurement	MeasSoilPhys	Near-Infrared C STD gC/kg	"Near Infrared Total carbon, soil, StdDev, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilPhys	"Near-Infrared C STD, gC/kg"
---	---	---	---	---	---	---	---	---	---	---	---	---	---
Measurement	MeasSoilChem	Exp Unit ID	Experimental Unit ID	a	z	none	NO	Memo	---	---	63999	MeasSoilChem	Exp Unit ID
Measurement	MeasSoilChem	Date	Measurement identifier	1/1/1900	10/19/2018	mm/dd/yyyy	NO	Date/Time	---	---	---	MeasSoilChem	Date
Measurement	MeasSoilChem	Treatment ID	Treatment identifier	a	z	none	YES	Memo	---	---	63999	MeasSoilChem	Treatment ID
Measurement	MeasSoilChem	Upper cm	"Upper soil layer, soil, centimeters"	0	200	cm	YES	Long Integer	---	---	---	MeasSoilChem	"Upper, cm"
Measurement	MeasSoilChem	Lower cm	"Lower soil layer, soil, centimeters"	0	200	cm	YES	Long Integer	---	---	---	MeasSoilChem	"Lower, cm"
Measurement	MeasSoilChem	Model if simulated	"If the observation is simulated, what model was used?"	a	z	none	YES	Memo	---	---	63999		
Measurement	MeasSoilChem	pH	"pH, soil, no units"	0	14	no units	YES	decimal	9	2	---	MeasSoilChem	pH
Measurement	MeasSoilChem	TSC gC/kg	"Total soil carbon, soil, mean or single measurement, grams C per kilogram soil"	0	1000	gC/kg	YES	decimal	9	3	---	MeasSoilChem	"TSC, gC/kg"
Measurement	MeasSoilChem	TSN gN/kg	"Total soil nitrogen, soil, mean or single measurement, grams N per kilogram soil"	0	1000	gN/kg	YES	decimal	9	3	---	MeasSoilChem	"TSN, gN/kg"
Measurement	MeasSoilChem	Inorganic C gC/kg	"Inorganic soil carbon, soil, mean or single measurement, grams C per kilogram soil"	0	1000	gC/kg	YES	decimal	9	3	---	MeasSoilChem	"Inorganic C, gC/kg"
Measurement	MeasSoilChem	Organic C gC/kg	"Organic soil carbon, soil, mean or single measurement, grams C per kilogram soil"	0	1000	gC/kg	YES	decimal	9	3	---	MeasSoilChem	"Organic C, gC/kg"
Measurement	MeasSoilChem	Mineral C gC/kg	"Mineral associated carbon, soil, mean or single measurement, grams C per kilogram soil"	0	1000	gC/kg	YES	decimal	9	3	---	MeasSoilChem	"Mineral C, gC/kg"
Measurement	MeasSoilChem	CEC cmol/kg	"Cation exchange capacity, soil, cmol per kilogram soil"	0		cmol/kg	YES	decimal	9	3	---	MeasSoilChem	"CEC, cmol/kg"
Measurement	MeasSoilChem	Electric Conduc siemens/m	"Soil electrical conductivity, soil, siemens per meter"	0	1	siemens/m	YES	decimal	9	3	---	MeasSoilChem	"Electric Conduc, siemens/m"
Measurement	MeasSoilChem	Soluble C mgC/kg	"Soluble organic carbon, soil, milligrams C per kilogram soil"	0	1000000	mg C/kg	YES	decimal	9	3	---	MeasSoilChem	"Soluble C, mgC/kg"
Measurement	MeasSoilChem	NH4 mgN/kg	"Ammonium, soil, milligrams of N per kilogram soil"	0	1000000	mg N/kg	YES	decimal	9	3	---	MeasSoilChem	"NH4, mgN/kg"
Measurement	MeasSoilChem	NO3 mgN/kg	"Nitrate, soil, milligrams of N per kilogram soil"	0	1000000	mg N/kg	YES	decimal	9	3	---	MeasSoilChem	"NO3, mgN/kg"
Measurement	MeasSoilChem	P mgP/kg	"Phosphorus, soil, milligrams P per kilogram soil"	0	1000000	mg P/kg	YES	decimal	9	3	---	MeasSoilChem	"P, mgP/kg"
Measurement	MeasSoilChem	K mgK/kg	"Potassium, soil, milligrams K per kilogram soil"	0	1000000	mg K/kg	YES	decimal	9	3	---	MeasSoilChem	"K, mgK/kg"
Measurement	MeasSoilChem	Ca mgCa/kg	"Calcium, soil, milligrams Ca per kilogram soil"	0	1000000	mg Ca/kg	YES	decimal	9	3	---	MeasSoilChem	"Ca, mgCa/kg"
Measurement	MeasSoilChem	Mg mgMg/kg	"Magnesium, soil, milligrams Mg per kilogram soil"	0	1000000	mg Mg/kg	YES	decimal	9	3	---	MeasSoilChem	"Mg, mgMg/kg"
Measurement	MeasSoilChem	Cu mgCu/kg	"Copper, soil, milligrams Cu per kilogram soil"	0	1000000	mg Cu/kg	YES	decimal	9	3	---	MeasSoilChem	"Cu, mgCu/kg"
Measurement	MeasSoilChem	Fe mgFe/kg	"Iron, soil, milligrams Fe per kilogram soil"	0	1000000	mg Fe/kg	YES	decimal	9	3	---	MeasSoilChem	"Fe, mgFe/kg"
Measurement	MeasSoilChem	Mn mgMN/kg	"Manganese, soil, milligrams Mn per kilogram soil"	0	1000000	mg Mn/kg	YES	decimal	9	3	---	MeasSoilChem	"Mn, mgMN/kg"
Measurement	MeasSoilChem	Zn mgZn/kg	"Zinc, soil, milligrams Zn per kilogram soil"	0	1000000	mg Zn/kg	YES	decimal	9	3	---	MeasSoilChem	"Zn, mgZn/kg"
Measurement	MeasSoilChem	Mineralizable N gN/kg	"Potentially Mineralizable N, soil, grams N per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"Mineralizable N, gN/kg"
Measurement	MeasSoilChem	Nitrite mgN/kg	"Nitrite, soil, milligrams per kilogram soil"	0	1000000	mg/kg	YES	decimal	9	3	---	MeasSoilChem	"Nitrite, mgN/kg"
Measurement	MeasSoilChem	Cesium-137 Bq/kg	 Bq/kg	 0	10000	 Bq/kg	YES	decimal	9	3	---		
Measurement	MeasSoilChem	Lead-210 Bq/kg	 Bq/kg	 0	10000	 Bq/kg	YES	decimal	9	3	---		
Measurement	MeasSoilChem	Beryllium-7 Bq/kg	 Bq/kg	 0	10000	 Bq/kg	YES	decimal	9	3	---		
Measurement	MeasSoilChem	pH STD	"pH, soil, StdDev, no units"	0	14	no units	YES	decimal	9	3	---	MeasSoilChem	pH STD
Measurement	MeasSoilChem	TSC STD gC/kg	"Total soil carbon, soil, StdDev, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"TSC STD, gC/kg"
Measurement	MeasSoilChem	TSN STD gN/kg	"Total soil nitrogen, soil, StdDev, grams N per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"TSN STD, gN/kg"
Measurement	MeasSoilChem	Inorganic C STD gC/kg	"Inorganic soil carbon, soil, StdDev, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"Inorganic C STD, gC/kg"
Measurement	MeasSoilChem	Organic STD gC/kg	"Soil particulate carbon, soil, StdDev, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"Organic STD, gC/kg"
Measurement	MeasSoilChem	Mineral C STD gC/kg	"Mineral associated carbon, soil, StdDev, grams C per kilogram soil"	0	1000	g/kg	YES	decimal	9	3	---	MeasSoilChem	"Mineral C STD, gC/kg"
Measurement	MeasSoilChem	CEC STD cmol/kg	"Cation exchange capacity, soil, StdDev, cmol per kilogram soil"	0		cmol/kg	YES	decimal	9	3	---	MeasSoilChem	"CEC STD, cmol/kg"
Measurement	MeasSoilChem	Electric Conduc STD siemens/m	"Soil electrical conductivity, soil, StdDev, siemens per meter"	0	1	siemens/m	YES	decimal	9	3	---	MeasSoilChem	"Electric Conduc STD, siemens/m"
Measurement	MeasSoilChem	Soluble C STD mgC/kg	"Soluble organic carbon, soil, StdDev, milligrams C per kilogram soil"	0	1000000	mg C/kg	YES	decimal	9	3	---	MeasSoilChem	"Soluble C STD, mgC/kg"
Measurement	MeasSoilChem	NH4 STD mgN/kg	"Ammonium, soil, StdDev, milligrams of N per kilogram soil"	0	1000000	mg N/kg	YES	decimal	9	3	---	MeasSoilChem	"NH4 STD, mgN/kg"
Measurement	MeasSoilChem	NO3 STD mgN/kg	"Nitrate, soil, StdDev, milligrams of N per kilogram soil"	0	1000000	mg N/kg	YES	decimal	9	3	---	MeasSoilChem	"NO3 STD, mgN/kg"
